Consequence	Pathogenic	Benign
2KB_upstream_variant	0.00287111867290515	0.00731359257937924
synonymous_variant	0.00535233234084787	0.444864268802906
3_prime_UTR_variant	0.00479701309135592	0.115444491291798
500B_downstream_variant	0.000413535611323787	0.00155677358674148
intron_variant	0.0938843990736802	0.288440956118445
5_prime_UTR_variant	0.0144028545772485	0.0295705899523238
frameshift_variant	0.302412684909495	0.00144325884604158
missense_variant	0.353880145564535	0.158417928842474
nonsense	0.184507774469493	0.000932442512892031
splice_acceptor_variant	0.0444137246561747	0.000527032724678105
splice_donor_variant	0.0580367692234983	0.00049459994162099
